 Example 1 - Column Test                                                 
 
 Program SWMS_3D
 Date:   6. 3.    Time:  15:50:52
 Time independent boundary conditions
 Units: L = cm   , T = day  , M = -    
 All cumulative fluxes (CumQ) are positive out of the region

     Time     CumQAP      CumQRP     CumQA      CumQR     CumQ3       CumQ1      CumQS      CumQ5       CumQ6 ....
      [T]      [L3]        [L3]       [L3]       [L3]      [L3]        [L3]       [L3]       [L3]        [L3]

       .2500   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.671E+02   .297E+02   .000E+00   .000E+00
      1.5000   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.730E+03   .123E+03   .000E+00   .000E+00
      5.0000   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.129E+04   .257E+03   .000E+00   .000E+00
     10.0000   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.135E+04   .372E+03   .000E+00   .000E+00
     20.0000   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.166E+04   .532E+03   .000E+00   .000E+00
     30.0000   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.198E+04   .680E+03   .000E+00   .000E+00
     50.0000   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.240E+04   .984E+03   .000E+00   .000E+00
    100.0000   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.322E+04   .175E+04   .000E+00   .000E+00
    200.0000   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00  -.475E+04   .330E+04   .000E+00   .000E+00
