

     *******************************************************************
     *                                                                 *
     *                             N3DADE                              *
     *                                                                 *
     *    ANALYTICAL SOLUTIONS FOR NONEQUILIBRIUM SOLUTE TRANSPORT     *
     *                IN 3-D SEMI-INFINITE POROUS MEDIA                *
     *                                                                 *
     *     FLUX-AVERAGED CONCENTRATIONS                                *
     *     Fig. 6: Instantaneous application from disc (cm,d)          *
     *                                                                 *
     *******************************************************************


     MODEL PARAMETERS
     ================

     NAME            VALUE

     dimensional
     V               20.00
     R                5.00
     Dx              10.00
     Dy               2.50
     Dz               2.50

     dimensionless
     BETA              .50
     OMEGA             .10
     MU1               .00
     MU2               .00


     CONSTANTS
     =========
     L  =   50.00
     Co =    1.00


     BOUNDARY VALUE PROBLEM    28
     ======================
     DIRAC INPUT FUNCTION
       t0=       .00        m=     20.00

     HEAVISIDE DISTRIBUTION FOR CIRCULAR GEOMETRY
         i       rin      rend
         1       .00      2.50


     INDEPENDENT VARIABLES
     =====================
     VARIABLE   INCREMENT        MINIMUM        MAXIMUM
     t               .250           .000         20.000
     x               .000         50.000         50.000
     y               .000           .000           .000
     z               .000           .000           .000


PREDICTED CONCENTRATIONS
========================

      EQUILIBRIUM   NONEQUILIBRIUM     TOTAL
 NO    C     C/Co     C     C/Co     Ct    Ct/Co     t       x       y       z
 19    .663   .663    .003   .003   1.664  1.664    4.50   50.00     .00     .00
 20   1.331  1.331    .007   .007   3.344  3.344    4.75   50.00     .00     .00
 21   2.240  2.240    .014   .014   5.633  5.633    5.00   50.00     .00     .00
 22   3.240  3.240    .024   .024   8.162  8.162    5.25   50.00     .00     .00
 23   4.116  4.116    .039   .039  10.387 10.387    5.50   50.00     .00     .00
 24   4.669  4.669    .057   .057  11.815 11.815    5.75   50.00     .00     .00
 25   4.800  4.800    .075   .075  12.188 12.188    6.00   50.00     .00     .00
 26   4.525  4.525    .094   .094  11.548 11.548    6.25   50.00     .00     .00
 27   3.953  3.953    .111   .111  10.159 10.159    6.50   50.00     .00     .00
 28   3.228  3.228    .124   .124   8.380  8.380    6.75   50.00     .00     .00
 29   2.482  2.482    .135   .135   6.543  6.543    7.00   50.00     .00     .00
 30   1.810  1.810    .143   .143   4.883  4.883    7.25   50.00     .00     .00
 31   1.259  1.259    .149   .149   3.519  3.519    7.50   50.00     .00     .00
 32    .840   .840    .152   .152   2.481  2.481    7.75   50.00     .00     .00
 33    .541   .541    .154   .154   1.739  1.739    8.00   50.00     .00     .00
 34    .339   .339    .156   .156   1.236  1.236    8.25   50.00     .00     .00
 35    .208   .208    .156   .156    .910   .910    8.50   50.00     .00     .00
 36    .127   .127    .156   .156    .706   .706    8.75   50.00     .00     .00
 37    .078   .078    .156   .156    .584   .584    9.00   50.00     .00     .00
 38    .050   .050    .155   .155    .512   .512    9.25   50.00     .00     .00
 39    .034   .034    .155   .155    .471   .471    9.50   50.00     .00     .00
 40    .025   .025    .155   .155    .448   .448    9.75   50.00     .00     .00
 41    .020   .020    .154   .154    .435   .435   10.00   50.00     .00     .00
 42    .018   .018    .153   .153    .427   .427   10.25   50.00     .00     .00
 43    .016   .016    .153   .153    .423   .423   10.50   50.00     .00     .00
 44    .016   .016    .152   .152    .420   .420   10.75   50.00     .00     .00
 45    .015   .015    .152   .152    .417   .417   11.00   50.00     .00     .00
 46    .015   .015    .151   .151    .415   .415   11.25   50.00     .00     .00
 47    .015   .015    .151   .151    .414   .414   11.50   50.00     .00     .00
 48    .015   .015    .150   .150    .412   .412   11.75   50.00     .00     .00
 49    .015   .015    .150   .150    .411   .411   12.00   50.00     .00     .00
 50    .015   .015    .149   .149    .409   .409   12.25   50.00     .00     .00
 51    .015   .015    .149   .149    .408   .408   12.50   50.00     .00     .00
 52    .014   .014    .148   .148    .406   .406   12.75   50.00     .00     .00
 53    .014   .014    .147   .147    .405   .405   13.00   50.00     .00     .00
 54    .014   .014    .147   .147    .403   .403   13.25   50.00     .00     .00
 55    .014   .014    .146   .146    .402   .402   13.50   50.00     .00     .00
 56    .014   .014    .146   .146    .400   .400   13.75   50.00     .00     .00
 57    .014   .014    .145   .145    .399   .399   14.00   50.00     .00     .00
 58    .014   .014    .145   .145    .397   .397   14.25   50.00     .00     .00
 59    .014   .014    .144   .144    .396   .396   14.50   50.00     .00     .00
 60    .014   .014    .144   .144    .395   .395   14.75   50.00     .00     .00
 61    .014   .014    .143   .143    .393   .393   15.00   50.00     .00     .00
 62    .014   .014    .143   .143    .392   .392   15.25   50.00     .00     .00
 63    .014   .014    .142   .142    .390   .390   15.50   50.00     .00     .00
 64    .014   .014    .142   .142    .389   .389   15.75   50.00     .00     .00
 65    .014   .014    .141   .141    .387   .387   16.00   50.00     .00     .00
 66    .014   .014    .141   .141    .386   .386   16.25   50.00     .00     .00
 67    .014   .014    .140   .140    .385   .385   16.50   50.00     .00     .00
 68    .014   .014    .140   .140    .383   .383   16.75   50.00     .00     .00
 69    .014   .014    .139   .139    .382   .382   17.00   50.00     .00     .00
 70    .014   .014    .139   .139    .381   .381   17.25   50.00     .00     .00
 71    .013   .013    .138   .138    .379   .379   17.50   50.00     .00     .00
 72    .013   .013    .138   .138    .378   .378   17.75   50.00     .00     .00
 73    .013   .013    .137   .137    .376   .376   18.00   50.00     .00     .00
 74    .013   .013    .137   .137    .375   .375   18.25   50.00     .00     .00
 75    .013   .013    .136   .136    .374   .374   18.50   50.00     .00     .00
 76    .013   .013    .136   .136    .372   .372   18.75   50.00     .00     .00
 77    .013   .013    .135   .135    .371   .371   19.00   50.00     .00     .00
 78    .013   .013    .135   .135    .370   .370   19.25   50.00     .00     .00
 79    .013   .013    .134   .134    .368   .368   19.50   50.00     .00     .00
 80    .013   .013    .134   .134    .367   .367   19.75   50.00     .00     .00
 81    .013   .013    .133   .133    .366   .366   20.00   50.00     .00     .00


     *******************************************************************
     *                                                                 *
     *                             N3DADE                              *
     *                                                                 *
     *    ANALYTICAL SOLUTIONS FOR NONEQUILIBRIUM SOLUTE TRANSPORT     *
     *                IN 3-D SEMI-INFINITE POROUS MEDIA                *
     *                                                                 *
     *     FLUX-AVERAGED CONCENTRATIONS                                *
     *     Fig. 6: Instantaneous application from disc (cm,d)          *
     *                                                                 *
     *******************************************************************


     MODEL PARAMETERS
     ================

     NAME            VALUE

     dimensional
     V               20.00
     R                5.00
     Dx              10.00
     Dy               2.50
     Dz               2.50

     dimensionless
     BETA              .50
     OMEGA            1.00
     MU1               .00
     MU2               .00


     CONSTANTS
     =========
     L  =   50.00
     Co =    1.00


     BOUNDARY VALUE PROBLEM    28
     ======================
     DIRAC INPUT FUNCTION
       t0=       .00        m=     20.00

     HEAVISIDE DISTRIBUTION FOR CIRCULAR GEOMETRY
         i       rin      rend
         1       .00      2.50


     INDEPENDENT VARIABLES
     =====================
     VARIABLE   INCREMENT        MINIMUM        MAXIMUM
     t               .250           .000         20.000
     x               .000         50.000         50.000
     y               .000           .000           .000
     z               .000           .000           .000


PREDICTED CONCENTRATIONS
========================

      EQUILIBRIUM   NONEQUILIBRIUM     TOTAL
 NO    C     C/Co     C     C/Co     Ct    Ct/Co     t       x       y       z
  1    .000   .000    .000   .000    .000   .000     .00   50.00     .00     .00
  2    .000   .000    .000   .000    .000   .000     .25   50.00     .00     .00
  3    .000   .000    .000   .000    .000   .000     .50   50.00     .00     .00
  4    .000   .000    .000   .000    .000   .000     .75   50.00     .00     .00
  5    .000   .000    .000   .000    .000   .000    1.00   50.00     .00     .00
  6    .000   .000    .000   .000    .000   .000    1.25   50.00     .00     .00
  7    .000   .000    .000   .000    .000   .000    1.50   50.00     .00     .00
  8    .000   .000    .000   .000    .000   .000    1.75   50.00     .00     .00
  9    .000   .000    .000   .000    .000   .000    2.00   50.00     .00     .00
 10    .000   .000    .000   .000    .000   .000    2.25   50.00     .00     .00
 11    .000   .000    .000   .000    .000   .000    2.50   50.00     .00     .00
 12    .000   .000    .000   .000    .000   .000    2.75   50.00     .00     .00
 13    .000   .000    .000   .000    .000   .000    3.00   50.00     .00     .00
 14    .000   .000    .000   .000    .001   .001    3.25   50.00     .00     .00
 15    .002   .002    .000   .000    .005   .005    3.50   50.00     .00     .00
 16    .012   .012    .000   .000    .030   .030    3.75   50.00     .00     .00
 17    .048   .048    .001   .001    .124   .124    4.00   50.00     .00     .00
 18    .148   .148    .005   .005    .383   .383    4.25   50.00     .00     .00
 19    .356   .356    .014   .014    .926   .926    4.50   50.00     .00     .00
 20    .695   .695    .034   .034   1.823  1.823    4.75   50.00     .00     .00
 21   1.140  1.140    .068   .068   3.021  3.021    5.00   50.00     .00     .00
 22   1.612  1.612    .120   .120   4.330  4.330    5.25   50.00     .00     .00
 23   2.010  2.010    .187   .187   5.492  5.492    5.50   50.00     .00     .00
 24   2.252  2.252    .264   .264   6.289  6.289    5.75   50.00     .00     .00
 25   2.306  2.306    .343   .343   6.622  6.622    6.00   50.00     .00     .00
 26   2.191  2.191    .418   .418   6.522  6.522    6.25   50.00     .00     .00
 27   1.961  1.961    .484   .484   6.112  6.112    6.50   50.00     .00     .00
 28   1.680  1.680    .536   .536   5.541  5.541    6.75   50.00     .00     .00
 29   1.401  1.401    .575   .575   4.940  4.940    7.00   50.00     .00     .00
 30   1.156  1.156    .603   .603   4.396  4.396    7.25   50.00     .00     .00
 31    .959   .959    .620   .620   3.949  3.949    7.50   50.00     .00     .00
 32    .812   .812    .630   .630   3.607  3.607    7.75   50.00     .00     .00
 33    .708   .708    .635   .635   3.357  3.357    8.00   50.00     .00     .00
 34    .635   .635    .637   .637   3.180  3.180    8.25   50.00     .00     .00
 35    .586   .586    .636   .636   3.054  3.054    8.50   50.00     .00     .00
 36    .552   .552    .633   .633   2.963  2.963    8.75   50.00     .00     .00
 37    .528   .528    .629   .629   2.893  2.893    9.00   50.00     .00     .00
 38    .510   .510    .625   .625   2.837  2.837    9.25   50.00     .00     .00
 39    .495   .495    .620   .620   2.789  2.789    9.50   50.00     .00     .00
 40    .483   .483    .615   .615   2.744  2.744    9.75   50.00     .00     .00
 41    .471   .471    .610   .610   2.702  2.702   10.00   50.00     .00     .00
 42    .461   .461    .604   .604   2.662  2.662   10.25   50.00     .00     .00
 43    .451   .451    .598   .598   2.622  2.622   10.50   50.00     .00     .00
 44    .441   .441    .592   .592   2.582  2.582   10.75   50.00     .00     .00
 45    .431   .431    .586   .586   2.542  2.542   11.00   50.00     .00     .00
 46    .421   .421    .580   .580   2.503  2.503   11.25   50.00     .00     .00
 47    .412   .412    .573   .573   2.464  2.464   11.50   50.00     .00     .00
 48    .403   .403    .567   .567   2.425  2.425   11.75   50.00     .00     .00
 49    .394   .394    .560   .560   2.386  2.386   12.00   50.00     .00     .00
 50    .385   .385    .554   .554   2.348  2.348   12.25   50.00     .00     .00
 51    .377   .377    .547   .547   2.309  2.309   12.50   50.00     .00     .00
 52    .368   .368    .540   .540   2.271  2.271   12.75   50.00     .00     .00
 53    .360   .360    .533   .533   2.233  2.233   13.00   50.00     .00     .00
 54    .352   .352    .526   .526   2.195  2.195   13.25   50.00     .00     .00
 55    .344   .344    .519   .519   2.158  2.158   13.50   50.00     .00     .00
 56    .336   .336    .512   .512   2.121  2.121   13.75   50.00     .00     .00
 57    .329   .329    .505   .505   2.084  2.084   14.00   50.00     .00     .00
 58    .321   .321    .498   .498   2.048  2.048   14.25   50.00     .00     .00
 59    .314   .314    .491   .491   2.012  2.012   14.50   50.00     .00     .00
 60    .307   .307    .484   .484   1.976  1.976   14.75   50.00     .00     .00
 61    .299   .299    .477   .477   1.940  1.940   15.00   50.00     .00     .00
 62    .293   .293    .470   .470   1.905  1.905   15.25   50.00     .00     .00
 63    .286   .286    .463   .463   1.871  1.871   15.50   50.00     .00     .00
 64    .279   .279    .456   .456   1.836  1.836   15.75   50.00     .00     .00
 65    .273   .273    .448   .448   1.803  1.803   16.00   50.00     .00     .00
 66    .266   .266    .441   .441   1.769  1.769   16.25   50.00     .00     .00
 67    .260   .260    .434   .434   1.736  1.736   16.50   50.00     .00     .00
 68    .254   .254    .427   .427   1.703  1.703   16.75   50.00     .00     .00
 69    .248   .248    .421   .421   1.671  1.671   17.00   50.00     .00     .00
 70    .242   .242    .414   .414   1.639  1.639   17.25   50.00     .00     .00
 71    .236   .236    .407   .407   1.608  1.608   17.50   50.00     .00     .00
 72    .231   .231    .400   .400   1.577  1.577   17.75   50.00     .00     .00
 73    .225   .225    .393   .393   1.546  1.546   18.00   50.00     .00     .00
 74    .220   .220    .387   .387   1.516  1.516   18.25   50.00     .00     .00
 75    .214   .214    .380   .380   1.486  1.486   18.50   50.00     .00     .00
 76    .209   .209    .373   .373   1.457  1.457   18.75   50.00     .00     .00
 77    .204   .204    .367   .367   1.428  1.428   19.00   50.00     .00     .00
 78    .199   .199    .360   .360   1.399  1.399   19.25   50.00     .00     .00
 79    .195   .195    .354   .354   1.371  1.371   19.50   50.00     .00     .00
 80    .190   .190    .348   .348   1.343  1.343   19.75   50.00     .00     .00
 81    .185   .185    .341   .341   1.316  1.316   20.00   50.00     .00     .00


     *******************************************************************
     *                                                                 *
     *                             N3DADE                              *
     *                                                                 *
     *    ANALYTICAL SOLUTIONS FOR NONEQUILIBRIUM SOLUTE TRANSPORT     *
     *                IN 3-D SEMI-INFINITE POROUS MEDIA                *
     *                                                                 *
     *     FLUX-AVERAGED CONCENTRATIONS                                *
     *     Fig. 6: Instantaneous application from disc (cm,d)          *
     *                                                                 *
     *******************************************************************


     MODEL PARAMETERS
     ================

     NAME            VALUE

     dimensional
     V               20.00
     R                5.00
     Dx              10.00
     Dy               2.50
     Dz               2.50

     dimensionless
     BETA              .50
     OMEGA           10.00
     MU1               .00
     MU2               .00


     CONSTANTS
     =========
     L  =   50.00
     Co =    1.00


     BOUNDARY VALUE PROBLEM    28
     ======================
     DIRAC INPUT FUNCTION
       t0=       .00        m=     20.00

     HEAVISIDE DISTRIBUTION FOR CIRCULAR GEOMETRY
         i       rin      rend
         1       .00      2.50


     INDEPENDENT VARIABLES
     =====================
     VARIABLE   INCREMENT        MINIMUM        MAXIMUM
     t               .250           .000         20.000
     x               .000         50.000         50.000
     y               .000           .000           .000
     z               .000           .000           .000


PREDICTED CONCENTRATIONS
========================

      EQUILIBRIUM   NONEQUILIBRIUM     TOTAL
 NO    C     C/Co     C     C/Co     Ct    Ct/Co     t       x       y       z
  1    .000   .000    .000   .000    .000   .000     .00   50.00     .00     .00
  2    .000   .000    .000   .000    .000   .000     .25   50.00     .00     .00
  3    .000   .000    .000   .000    .000   .000     .50   50.00     .00     .00
  4    .000   .000    .000   .000    .000   .000     .75   50.00     .00     .00
  5    .000   .000    .000   .000    .000   .000    1.00   50.00     .00     .00
  6    .000   .000    .000   .000    .000   .000    1.25   50.00     .00     .00
  7    .000   .000    .000   .000    .000   .000    1.50   50.00     .00     .00
  8    .000   .000    .000   .000    .000   .000    1.75   50.00     .00     .00
  9    .000   .000    .000   .000    .000   .000    2.00   50.00     .00     .00
 10    .000   .000    .000   .000    .000   .000    2.25   50.00     .00     .00
 11    .000   .000    .000   .000    .000   .000    2.50   50.00     .00     .00
 12    .000   .000    .000   .000    .000   .000    2.75   50.00     .00     .00
 13    .000   .000    .000   .000    .000   .000    3.00   50.00     .00     .00
 14    .000   .000    .000   .000    .000   .000    3.25   50.00     .00     .00
 15    .000   .000    .000   .000    .000   .000    3.50   50.00     .00     .00
 16    .000   .000    .000   .000    .001   .001    3.75   50.00     .00     .00
 17    .001   .001    .000   .000    .002   .002    4.00   50.00     .00     .00
 18    .002   .002    .001   .001    .006   .006    4.25   50.00     .00     .00
 19    .005   .005    .001   .001    .016   .016    4.50   50.00     .00     .00
 20    .011   .011    .004   .004    .036   .036    4.75   50.00     .00     .00
 21    .021   .021    .008   .008    .071   .071    5.00   50.00     .00     .00
 22    .036   .036    .014   .014    .126   .126    5.25   50.00     .00     .00
 23    .058   .058    .025   .025    .207   .207    5.50   50.00     .00     .00
 24    .087   .087    .041   .041    .321   .321    5.75   50.00     .00     .00
 25    .125   .125    .063   .063    .470   .470    6.00   50.00     .00     .00
 26    .172   .172    .091   .091    .659   .659    6.25   50.00     .00     .00
 27    .228   .228    .128   .128    .889   .889    6.50   50.00     .00     .00
 28    .292   .292    .172   .172   1.160  1.160    6.75   50.00     .00     .00
 29    .364   .364    .224   .224   1.471  1.471    7.00   50.00     .00     .00
 30    .443   .443    .284   .284   1.818  1.818    7.25   50.00     .00     .00
 31    .527   .527    .351   .351   2.196  2.196    7.50   50.00     .00     .00
 32    .615   .615    .425   .425   2.600  2.600    7.75   50.00     .00     .00
 33    .706   .706    .503   .503   3.023  3.023    8.00   50.00     .00     .00
 34    .796   .796    .586   .586   3.456  3.456    8.25   50.00     .00     .00
 35    .886   .886    .671   .671   3.892  3.892    8.50   50.00     .00     .00
 36    .972   .972    .757   .757   4.323  4.323    8.75   50.00     .00     .00
 37   1.054  1.054    .843   .843   4.741  4.741    9.00   50.00     .00     .00
 38   1.130  1.130    .926   .926   5.139  5.139    9.25   50.00     .00     .00
 39   1.199  1.199   1.005  1.005   5.510  5.510    9.50   50.00     .00     .00
 40   1.259  1.259   1.080  1.080   5.848  5.848    9.75   50.00     .00     .00
 41   1.311  1.311   1.148  1.148   6.148  6.148   10.00   50.00     .00     .00
 42   1.353  1.353   1.210  1.210   6.407  6.407   10.25   50.00     .00     .00
 43   1.386  1.386   1.263  1.263   6.622  6.622   10.50   50.00     .00     .00
 44   1.408  1.408   1.308  1.308   6.790  6.790   10.75   50.00     .00     .00
 45   1.421  1.421   1.343  1.343   6.912  6.912   11.00   50.00     .00     .00
 46   1.425  1.425   1.370  1.370   6.987  6.987   11.25   50.00     .00     .00
 47   1.420  1.420   1.387  1.387   7.017  7.017   11.50   50.00     .00     .00
 48   1.406  1.406   1.396  1.396   7.004  7.004   11.75   50.00     .00     .00
 49   1.384  1.384   1.395  1.395   6.949  6.949   12.00   50.00     .00     .00
 50   1.355  1.355   1.387  1.387   6.856  6.856   12.25   50.00     .00     .00
 51   1.320  1.320   1.370  1.370   6.727  6.727   12.50   50.00     .00     .00
 52   1.280  1.280   1.347  1.347   6.568  6.568   12.75   50.00     .00     .00
 53   1.235  1.235   1.317  1.317   6.381  6.381   13.00   50.00     .00     .00
 54   1.187  1.187   1.282  1.282   6.171  6.171   13.25   50.00     .00     .00
 55   1.135  1.135   1.241  1.241   5.941  5.941   13.50   50.00     .00     .00
 56   1.081  1.081   1.197  1.197   5.694  5.694   13.75   50.00     .00     .00
 57   1.026  1.026   1.149  1.149   5.436  5.436   14.00   50.00     .00     .00
 58    .969   .969   1.098  1.098   5.169  5.169   14.25   50.00     .00     .00
 59    .913   .913   1.046  1.046   4.896  4.896   14.50   50.00     .00     .00
 60    .856   .856    .992   .992   4.621  4.621   14.75   50.00     .00     .00
 61    .801   .801    .938   .938   4.346  4.346   15.00   50.00     .00     .00
 62    .746   .746    .883   .883   4.073  4.073   15.25   50.00     .00     .00
 63    .694   .694    .829   .829   3.805  3.805   15.50   50.00     .00     .00
 64    .642   .642    .775   .775   3.544  3.544   15.75   50.00     .00     .00
 65    .593   .593    .723   .723   3.290  3.290   16.00   50.00     .00     .00
 66    .546   .546    .672   .672   3.045  3.045   16.25   50.00     .00     .00
 67    .502   .502    .622   .622   2.811  2.811   16.50   50.00     .00     .00
 68    .460   .460    .575   .575   2.587  2.587   16.75   50.00     .00     .00
 69    .420   .420    .530   .530   2.375  2.375   17.00   50.00     .00     .00
 70    .383   .383    .487   .487   2.174  2.174   17.25   50.00     .00     .00
 71    .348   .348    .446   .446   1.986  1.986   17.50   50.00     .00     .00
 72    .315   .315    .408   .408   1.809  1.809   17.75   50.00     .00     .00
 73    .285   .285    .372   .372   1.644  1.644   18.00   50.00     .00     .00
 74    .258   .258    .339   .339   1.491  1.491   18.25   50.00     .00     .00
 75    .232   .232    .307   .307   1.349  1.349   18.50   50.00     .00     .00
 76    .209   .209    .278   .278   1.217  1.217   18.75   50.00     .00     .00
 77    .187   .187    .252   .252   1.096  1.096   19.00   50.00     .00     .00
 78    .167   .167    .227   .227    .986   .986   19.25   50.00     .00     .00
 79    .150   .150    .204   .204    .884   .884   19.50   50.00     .00     .00
 80    .133   .133    .183   .183    .792   .792   19.75   50.00     .00     .00
 81    .119   .119    .164   .164    .707   .707   20.00   50.00     .00     .00
