

     *******************************************************************
     *                                                                 *
     *                             N3DADE                              *
     *                                                                 *
     *    ANALYTICAL SOLUTIONS FOR NONEQUILIBRIUM SOLUTE TRANSPORT     *
     *                IN 3-D SEMI-INFINITE POROUS MEDIA                *
     *                                                                 *
     *     VOLUME-AVERAGED CONCENTRATIONS                              *
     *     Fig. 11: Exponential distribution about (5,0,0)             *
     *                                                                 *
     *******************************************************************


     MODEL PARAMETERS
     ================

     NAME            VALUE

     dimensional
     V                5.00
     R                1.00
     Dx              10.00
     Dy               5.00
     Dz               5.00

     dimensionless
     BETA              .50
     OMEGA            1.00
     MU1               .00
     MU2               .00


     CONSTANTS
     =========
     L  =   20.00
     Co =    1.00


     INITIAL VALUE PROBLEM    35
     =====================

     EXPONENTIAL INITIAL DISTRIBUTION FOR SPHERICAL GEOMETRY    x0=      5.00
       fe=      1.00    alpha=      2.00


     INDEPENDENT VARIABLES
     =====================
     VARIABLE   INCREMENT        MINIMUM        MAXIMUM
     t               .000          1.000          1.000
     x              1.000           .000         40.000
     y              1.000           .000         40.000
     z               .000           .000           .000


PREDICTED CONCENTRATIONS
========================

      EQUILIBRIUM   NONEQUILIBRIUM     TOTAL
 NO    C     C/Co     C     C/Co     Ct    Ct/Co     t       x       y       z
 21    .010   .010    .085   .085    .047   .047    1.00     .00   20.00     .00
 22    .009   .009    .077   .077    .043   .043    1.00     .00   21.00     .00
 23    .008   .008    .070   .070    .039   .039    1.00     .00   22.00     .00
 24    .007   .007    .064   .064    .035   .035    1.00     .00   23.00     .00
 25    .007   .007    .058   .058    .032   .032    1.00     .00   24.00     .00
 26    .006   .006    .052   .052    .029   .029    1.00     .00   25.00     .00
 27    .005   .005    .047   .047    .026   .026    1.00     .00   26.00     .00
 28    .005   .005    .043   .043    .024   .024    1.00     .00   27.00     .00
 29    .004   .004    .039   .039    .022   .022    1.00     .00   28.00     .00
 30    .004   .004    .035   .035    .020   .020    1.00     .00   29.00     .00
 31    .004   .004    .032   .032    .018   .018    1.00     .00   30.00     .00
 32    .003   .003    .029   .029    .016   .016    1.00     .00   31.00     .00
 33    .003   .003    .026   .026    .015   .015    1.00     .00   32.00     .00
 34    .003   .003    .024   .024    .013   .013    1.00     .00   33.00     .00
 35    .002   .002    .022   .022    .012   .012    1.00     .00   34.00     .00
 36    .002   .002    .020   .020    .011   .011    1.00     .00   35.00     .00
 37    .002   .002    .018   .018    .010   .010    1.00     .00   36.00     .00
 38    .002   .002    .016   .016    .009   .009    1.00     .00   37.00     .00
 39    .002   .002    .015   .015    .008   .008    1.00     .00   38.00     .00
 40    .001   .001    .013   .013    .007   .007    1.00     .00   39.00     .00
 41    .001   .001    .012   .012    .007   .007    1.00     .00   40.00     .00
 42    .065   .065    .465   .465    .265   .265    1.00    1.00     .00     .00
 43    .065   .065    .460   .460    .262   .262    1.00    1.00    1.00     .00
 44    .064   .064    .445   .445    .254   .254    1.00    1.00    2.00     .00
 45    .061   .061    .422   .422    .242   .242    1.00    1.00    3.00     .00
 46    .058   .058    .396   .396    .227   .227    1.00    1.00    4.00     .00
 47    .055   .055    .368   .368    .212   .212    1.00    1.00    5.00     .00
 48    .052   .052    .340   .340    .196   .196    1.00    1.00    6.00     .00
 49    .048   .048    .312   .312    .180   .180    1.00    1.00    7.00     .00
 50    .044   .044    .286   .286    .165   .165    1.00    1.00    8.00     .00
 51    .041   .041    .262   .262    .151   .151    1.00    1.00    9.00     .00
 52    .038   .038    .239   .239    .138   .138    1.00    1.00   10.00     .00
 53    .034   .034    .218   .218    .126   .126    1.00    1.00   11.00     .00
 54    .032   .032    .198   .198    .115   .115    1.00    1.00   12.00     .00
 55    .029   .029    .180   .180    .104   .104    1.00    1.00   13.00     .00
 56    .026   .026    .164   .164    .095   .095    1.00    1.00   14.00     .00
 57    .024   .024    .149   .149    .086   .086    1.00    1.00   15.00     .00
 58    .022   .022    .135   .135    .078   .078    1.00    1.00   16.00     .00
 59    .020   .020    .122   .122    .071   .071    1.00    1.00   17.00     .00
 60    .018   .018    .111   .111    .065   .065    1.00    1.00   18.00     .00
 61    .016   .016    .101   .101    .059   .059    1.00    1.00   19.00     .00
 62    .015   .015    .091   .091    .053   .053    1.00    1.00   20.00     .00
 63    .013   .013    .083   .083    .048   .048    1.00    1.00   21.00     .00
 64    .012   .012    .075   .075    .044   .044    1.00    1.00   22.00     .00
 65    .011   .011    .068   .068    .040   .040    1.00    1.00   23.00     .00
 66    .010   .010    .062   .062    .036   .036    1.00    1.00   24.00     .00
 67    .009   .009    .056   .056    .032   .032    1.00    1.00   25.00     .00
 68    .008   .008    .051   .051    .029   .029    1.00    1.00   26.00     .00
 69    .007   .007    .046   .046    .027   .027    1.00    1.00   27.00     .00
 70    .007   .007    .042   .042    .024   .024    1.00    1.00   28.00     .00
 71    .006   .006    .038   .038    .022   .022    1.00    1.00   29.00     .00
 72    .006   .006    .034   .034    .020   .020    1.00    1.00   30.00     .00
 73    .005   .005    .031   .031    .018   .018    1.00    1.00   31.00     .00
 74    .005   .005    .028   .028    .016   .016    1.00    1.00   32.00     .00
 75    .004   .004    .025   .025    .015   .015    1.00    1.00   33.00     .00
 76    .004   .004    .023   .023    .013   .013    1.00    1.00   34.00     .00
 77    .003   .003    .021   .021    .012   .012    1.00    1.00   35.00     .00
 78    .003   .003    .019   .019    .011   .011    1.00    1.00   36.00     .00
 79    .003   .003    .017   .017    .010   .010    1.00    1.00   37.00     .00
 80    .003   .003    .015   .015    .009   .009    1.00    1.00   38.00     .00
 81    .002   .002    .014   .014    .008   .008    1.00    1.00   39.00     .00
 82    .002   .002    .013   .013    .007   .007    1.00    1.00   40.00     .00
 83    .091   .091    .530   .530    .310   .310    1.00    2.00     .00     .00
 84    .090   .090    .522   .522    .306   .306    1.00    2.00    1.00     .00
 85    .088   .088    .501   .501    .294   .294    1.00    2.00    2.00     .00
 86    .085   .085    .471   .471    .278   .278    1.00    2.00    3.00     .00
 87    .081   .081    .438   .438    .260   .260    1.00    2.00    4.00     .00
 88    .076   .076    .405   .405    .240   .240    1.00    2.00    5.00     .00
 89    .071   .071    .372   .372    .222   .222    1.00    2.00    6.00     .00
 90    .066   .066    .340   .340    .203   .203    1.00    2.00    7.00     .00
 91    .062   .062    .310   .310    .186   .186    1.00    2.00    8.00     .00
 92    .057   .057    .283   .283    .170   .170    1.00    2.00    9.00     .00
 93    .052   .052    .257   .257    .155   .155    1.00    2.00   10.00     .00
 94    .048   .048    .234   .234    .141   .141    1.00    2.00   11.00     .00
 95    .044   .044    .212   .212    .128   .128    1.00    2.00   12.00     .00
 96    .040   .040    .193   .193    .116   .116    1.00    2.00   13.00     .00
 97    .036   .036    .175   .175    .106   .106    1.00    2.00   14.00     .00
 98    .033   .033    .159   .159    .096   .096    1.00    2.00   15.00     .00
 99    .030   .030    .144   .144    .087   .087    1.00    2.00   16.00     .00
100    .027   .027    .131   .131    .079   .079    1.00    2.00   17.00     .00
101    .025   .025    .118   .118    .072   .072    1.00    2.00   18.00     .00
102    .023   .023    .107   .107    .065   .065    1.00    2.00   19.00     .00
103    .021   .021    .097   .097    .059   .059    1.00    2.00   20.00     .00
104    .019   .019    .088   .088    .053   .053    1.00    2.00   21.00     .00
105    .017   .017    .080   .080    .048   .048    1.00    2.00   22.00     .00
106    .015   .015    .072   .072    .044   .044    1.00    2.00   23.00     .00
107    .014   .014    .065   .065    .040   .040    1.00    2.00   24.00     .00
108    .013   .013    .059   .059    .036   .036    1.00    2.00   25.00     .00
109    .011   .011    .054   .054    .033   .033    1.00    2.00   26.00     .00
110    .010   .010    .049   .049    .029   .029    1.00    2.00   27.00     .00
111    .009   .009    .044   .044    .027   .027    1.00    2.00   28.00     .00
112    .008   .008    .040   .040    .024   .024    1.00    2.00   29.00     .00
113    .008   .008    .036   .036    .022   .022    1.00    2.00   30.00     .00
114    .007   .007    .033   .033    .020   .020    1.00    2.00   31.00     .00
115    .006   .006    .030   .030    .018   .018    1.00    2.00   32.00     .00
116    .006   .006    .027   .027    .016   .016    1.00    2.00   33.00     .00
117    .005   .005    .024   .024    .015   .015    1.00    2.00   34.00     .00
118    .005   .005    .022   .022    .013   .013    1.00    2.00   35.00     .00
119    .004   .004    .020   .020    .012   .012    1.00    2.00   36.00     .00
120    .004   .004    .018   .018    .011   .011    1.00    2.00   37.00     .00
121    .003   .003    .016   .016    .010   .010    1.00    2.00   38.00     .00
122    .003   .003    .015   .015    .009   .009    1.00    2.00   39.00     .00
123    .003   .003    .013   .013    .008   .008    1.00    2.00   40.00     .00
124    .116   .116    .599   .599    .357   .357    1.00    3.00     .00     .00
125    .115   .115    .586   .586    .351   .351    1.00    3.00    1.00     .00
126    .113   .113    .556   .556    .334   .334    1.00    3.00    2.00     .00
127    .109   .109    .517   .517    .313   .313    1.00    3.00    3.00     .00
128    .104   .104    .477   .477    .290   .290    1.00    3.00    4.00     .00
129    .098   .098    .438   .438    .268   .268    1.00    3.00    5.00     .00
130    .092   .092    .400   .400    .246   .246    1.00    3.00    6.00     .00
131    .085   .085    .365   .365    .225   .225    1.00    3.00    7.00     .00
132    .079   .079    .332   .332    .205   .205    1.00    3.00    8.00     .00
133    .073   .073    .302   .302    .187   .187    1.00    3.00    9.00     .00
134    .067   .067    .274   .274    .170   .170    1.00    3.00   10.00     .00
135    .061   .061    .249   .249    .155   .155    1.00    3.00   11.00     .00
136    .056   .056    .226   .226    .141   .141    1.00    3.00   12.00     .00
137    .051   .051    .205   .205    .128   .128    1.00    3.00   13.00     .00
138    .047   .047    .185   .185    .116   .116    1.00    3.00   14.00     .00
139    .042   .042    .168   .168    .105   .105    1.00    3.00   15.00     .00
140    .039   .039    .152   .152    .095   .095    1.00    3.00   16.00     .00
141    .035   .035    .138   .138    .087   .087    1.00    3.00   17.00     .00
142    .032   .032    .125   .125    .078   .078    1.00    3.00   18.00     .00
143    .029   .029    .113   .113    .071   .071    1.00    3.00   19.00     .00
144    .026   .026    .103   .103    .064   .064    1.00    3.00   20.00     .00
145    .024   .024    .093   .093    .058   .058    1.00    3.00   21.00     .00
146    .022   .022    .084   .084    .053   .053    1.00    3.00   22.00     .00
147    .020   .020    .076   .076    .048   .048    1.00    3.00   23.00     .00
148    .018   .018    .069   .069    .043   .043    1.00    3.00   24.00     .00
149    .016   .016    .062   .062    .039   .039    1.00    3.00   25.00     .00
150    .015   .015    .056   .056    .036   .036    1.00    3.00   26.00     .00
151    .013   .013    .051   .051    .032   .032    1.00    3.00   27.00     .00
152    .012   .012    .046   .046    .029   .029    1.00    3.00   28.00     .00
153    .011   .011    .042   .042    .026   .026    1.00    3.00   29.00     .00
154    .010   .010    .038   .038    .024   .024    1.00    3.00   30.00     .00
155    .009   .009    .034   .034    .022   .022    1.00    3.00   31.00     .00
156    .008   .008    .031   .031    .020   .020    1.00    3.00   32.00     .00
157    .007   .007    .028   .028    .018   .018    1.00    3.00   33.00     .00
158    .007   .007    .025   .025    .016   .016    1.00    3.00   34.00     .00
159    .006   .006    .023   .023    .015   .015    1.00    3.00   35.00     .00
160    .005   .005    .021   .021    .013   .013    1.00    3.00   36.00     .00
161    .005   .005    .019   .019    .012   .012    1.00    3.00   37.00     .00
162    .004   .004    .017   .017    .011   .011    1.00    3.00   38.00     .00
163    .004   .004    .015   .015    .010   .010    1.00    3.00   39.00     .00
164    .004   .004    .014   .014    .009   .009    1.00    3.00   40.00     .00
165    .140   .140    .671   .671    .406   .406    1.00    4.00     .00     .00
166    .139   .139    .648   .648    .394   .394    1.00    4.00    1.00     .00
167    .136   .136    .604   .604    .370   .370    1.00    4.00    2.00     .00
168    .131   .131    .555   .555    .343   .343    1.00    4.00    3.00     .00
169    .125   .125    .509   .509    .317   .317    1.00    4.00    4.00     .00
170    .118   .118    .464   .464    .291   .291    1.00    4.00    5.00     .00
171    .111   .111    .423   .423    .267   .267    1.00    4.00    6.00     .00
172    .103   .103    .385   .385    .244   .244    1.00    4.00    7.00     .00
173    .096   .096    .350   .350    .223   .223    1.00    4.00    8.00     .00
174    .088   .088    .317   .317    .203   .203    1.00    4.00    9.00     .00
175    .081   .081    .288   .288    .185   .185    1.00    4.00   10.00     .00
176    .074   .074    .261   .261    .168   .168    1.00    4.00   11.00     .00
177    .068   .068    .237   .237    .152   .152    1.00    4.00   12.00     .00
178    .062   .062    .215   .215    .138   .138    1.00    4.00   13.00     .00
179    .057   .057    .194   .194    .126   .126    1.00    4.00   14.00     .00
180    .052   .052    .176   .176    .114   .114    1.00    4.00   15.00     .00
181    .047   .047    .160   .160    .103   .103    1.00    4.00   16.00     .00
182    .043   .043    .144   .144    .094   .094    1.00    4.00   17.00     .00
183    .039   .039    .131   .131    .085   .085    1.00    4.00   18.00     .00
184    .035   .035    .118   .118    .077   .077    1.00    4.00   19.00     .00
185    .032   .032    .107   .107    .070   .070    1.00    4.00   20.00     .00
186    .029   .029    .097   .097    .063   .063    1.00    4.00   21.00     .00
187    .026   .026    .088   .088    .057   .057    1.00    4.00   22.00     .00
188    .024   .024    .080   .080    .052   .052    1.00    4.00   23.00     .00
189    .022   .022    .072   .072    .047   .047    1.00    4.00   24.00     .00
190    .020   .020    .065   .065    .042   .042    1.00    4.00   25.00     .00
191    .018   .018    .059   .059    .038   .038    1.00    4.00   26.00     .00
192    .016   .016    .053   .053    .035   .035    1.00    4.00   27.00     .00
193    .015   .015    .048   .048    .031   .031    1.00    4.00   28.00     .00
194    .013   .013    .044   .044    .029   .029    1.00    4.00   29.00     .00
195    .012   .012    .040   .040    .026   .026    1.00    4.00   30.00     .00
196    .011   .011    .036   .036    .023   .023    1.00    4.00   31.00     .00
197    .010   .010    .032   .032    .021   .021    1.00    4.00   32.00     .00
198    .009   .009    .029   .029    .019   .019    1.00    4.00   33.00     .00
199    .008   .008    .027   .027    .017   .017    1.00    4.00   34.00     .00
200    .007   .007    .024   .024    .016   .016    1.00    4.00   35.00     .00
201    .007   .007    .022   .022    .014   .014    1.00    4.00   36.00     .00
202    .006   .006    .020   .020    .013   .013    1.00    4.00   37.00     .00
203    .005   .005    .018   .018    .012   .012    1.00    4.00   38.00     .00
204    .005   .005    .016   .016    .011   .011    1.00    4.00   39.00     .00
205    .004   .004    .015   .015    .010   .010    1.00    4.00   40.00     .00
206    .161   .161    .748   .748    .454   .454    1.00    5.00     .00     .00
207    .160   .160    .689   .689    .424   .424    1.00    5.00    1.00     .00
208    .157   .157    .633   .633    .395   .395    1.00    5.00    2.00     .00
209    .151   .151    .580   .580    .365   .365    1.00    5.00    3.00     .00
210    .144   .144    .530   .530    .337   .337    1.00    5.00    4.00     .00
211    .136   .136    .483   .483    .310   .310    1.00    5.00    5.00     .00
212    .128   .128    .440   .440    .284   .284    1.00    5.00    6.00     .00
213    .119   .119    .400   .400    .260   .260    1.00    5.00    7.00     .00
214    .111   .111    .363   .363    .237   .237    1.00    5.00    8.00     .00
215    .102   .102    .330   .330    .216   .216    1.00    5.00    9.00     .00
216    .094   .094    .299   .299    .196   .196    1.00    5.00   10.00     .00
217    .086   .086    .271   .271    .179   .179    1.00    5.00   11.00     .00
218    .079   .079    .246   .246    .162   .162    1.00    5.00   12.00     .00
219    .072   .072    .223   .223    .147   .147    1.00    5.00   13.00     .00
220    .066   .066    .202   .202    .134   .134    1.00    5.00   14.00     .00
221    .060   .060    .183   .183    .121   .121    1.00    5.00   15.00     .00
222    .055   .055    .165   .165    .110   .110    1.00    5.00   16.00     .00
223    .050   .050    .150   .150    .100   .100    1.00    5.00   17.00     .00
224    .045   .045    .136   .136    .090   .090    1.00    5.00   18.00     .00
225    .041   .041    .123   .123    .082   .082    1.00    5.00   19.00     .00
226    .037   .037    .111   .111    .074   .074    1.00    5.00   20.00     .00
227    .034   .034    .101   .101    .067   .067    1.00    5.00   21.00     .00
228    .031   .031    .091   .091    .061   .061    1.00    5.00   22.00     .00
229    .028   .028    .083   .083    .055   .055    1.00    5.00   23.00     .00
230    .025   .025    .075   .075    .050   .050    1.00    5.00   24.00     .00
231    .023   .023    .068   .068    .045   .045    1.00    5.00   25.00     .00
232    .021   .021    .061   .061    .041   .041    1.00    5.00   26.00     .00
233    .019   .019    .055   .055    .037   .037    1.00    5.00   27.00     .00
234    .017   .017    .050   .050    .034   .034    1.00    5.00   28.00     .00
235    .015   .015    .045   .045    .030   .030    1.00    5.00   29.00     .00
236    .014   .014    .041   .041    .028   .028    1.00    5.00   30.00     .00
237    .013   .013    .037   .037    .025   .025    1.00    5.00   31.00     .00
238    .011   .011    .034   .034    .023   .023    1.00    5.00   32.00     .00
239    .010   .010    .030   .030    .020   .020    1.00    5.00   33.00     .00
240    .009   .009    .028   .028    .018   .018    1.00    5.00   34.00     .00
241    .009   .009    .025   .025    .017   .017    1.00    5.00   35.00     .00
242    .008   .008    .023   .023    .015   .015    1.00    5.00   36.00     .00
243    .007   .007    .020   .020    .014   .014    1.00    5.00   37.00     .00
244    .006   .006    .018   .018    .012   .012    1.00    5.00   38.00     .00
245    .006   .006    .017   .017    .011   .011    1.00    5.00   39.00     .00
246    .005   .005    .015   .015    .010   .010    1.00    5.00   40.00     .00
247    .179   .179    .706   .706    .442   .442    1.00    6.00     .00     .00
248    .178   .178    .682   .682    .430   .430    1.00    6.00    1.00     .00
249    .174   .174    .637   .637    .405   .405    1.00    6.00    2.00     .00
250    .168   .168    .587   .587    .378   .378    1.00    6.00    3.00     .00
251    .161   .161    .539   .539    .350   .350    1.00    6.00    4.00     .00
252    .152   .152    .492   .492    .322   .322    1.00    6.00    5.00     .00
253    .143   .143    .449   .449    .296   .296    1.00    6.00    6.00     .00
254    .134   .134    .409   .409    .271   .271    1.00    6.00    7.00     .00
255    .124   .124    .372   .372    .248   .248    1.00    6.00    8.00     .00
256    .115   .115    .338   .338    .226   .226    1.00    6.00    9.00     .00
257    .106   .106    .307   .307    .206   .206    1.00    6.00   10.00     .00
258    .097   .097    .278   .278    .187   .187    1.00    6.00   11.00     .00
259    .089   .089    .252   .252    .170   .170    1.00    6.00   12.00     .00
260    .081   .081    .229   .229    .155   .155    1.00    6.00   13.00     .00
261    .074   .074    .207   .207    .141   .141    1.00    6.00   14.00     .00
262    .067   .067    .188   .188    .128   .128    1.00    6.00   15.00     .00
263    .061   .061    .170   .170    .116   .116    1.00    6.00   16.00     .00
264    .056   .056    .154   .154    .105   .105    1.00    6.00   17.00     .00
265    .051   .051    .140   .140    .095   .095    1.00    6.00   18.00     .00
266    .046   .046    .126   .126    .086   .086    1.00    6.00   19.00     .00
267    .042   .042    .114   .114    .078   .078    1.00    6.00   20.00     .00
268    .038   .038    .104   .104    .071   .071    1.00    6.00   21.00     .00
269    .035   .035    .094   .094    .064   .064    1.00    6.00   22.00     .00
270    .031   .031    .085   .085    .058   .058    1.00    6.00   23.00     .00
271    .028   .028    .077   .077    .053   .053    1.00    6.00   24.00     .00
272    .026   .026    .070   .070    .048   .048    1.00    6.00   25.00     .00
273    .023   .023    .063   .063    .043   .043    1.00    6.00   26.00     .00
274    .021   .021    .057   .057    .039   .039    1.00    6.00   27.00     .00
275    .019   .019    .052   .052    .035   .035    1.00    6.00   28.00     .00
276    .017   .017    .047   .047    .032   .032    1.00    6.00   29.00     .00
277    .016   .016    .042   .042    .029   .029    1.00    6.00   30.00     .00
278    .014   .014    .038   .038    .026   .026    1.00    6.00   31.00     .00
279    .013   .013    .035   .035    .024   .024    1.00    6.00   32.00     .00
280    .012   .012    .031   .031    .022   .022    1.00    6.00   33.00     .00
281    .011   .011    .028   .028    .020   .020    1.00    6.00   34.00     .00
282    .010   .010    .026   .026    .018   .018    1.00    6.00   35.00     .00
283    .009   .009    .023   .023    .016   .016    1.00    6.00   36.00     .00
284    .008   .008    .021   .021    .014   .014    1.00    6.00   37.00     .00
285    .007   .007    .019   .019    .013   .013    1.00    6.00   38.00     .00
286    .006   .006    .017   .017    .012   .012    1.00    6.00   39.00     .00
287    .006   .006    .016   .016    .011   .011    1.00    6.00   40.00     .00
288    .194   .194    .666   .666    .430   .430    1.00    7.00     .00     .00
289    .193   .193    .654   .654    .423   .423    1.00    7.00    1.00     .00
290    .189   .189    .621   .621    .405   .405    1.00    7.00    2.00     .00
291    .183   .183    .580   .580    .382   .382    1.00    7.00    3.00     .00
292    .176   .176    .536   .536    .356   .356    1.00    7.00    4.00     .00
293    .167   .167    .493   .493    .330   .330    1.00    7.00    5.00     .00
294    .157   .157    .451   .451    .304   .304    1.00    7.00    6.00     .00
295    .147   .147    .412   .412    .279   .279    1.00    7.00    7.00     .00
296    .136   .136    .376   .376    .256   .256    1.00    7.00    8.00     .00
297    .126   .126    .342   .342    .234   .234    1.00    7.00    9.00     .00
298    .116   .116    .311   .311    .213   .213    1.00    7.00   10.00     .00
299    .107   .107    .282   .282    .195   .195    1.00    7.00   11.00     .00
300    .098   .098    .256   .256    .177   .177    1.00    7.00   12.00     .00
301    .089   .089    .232   .232    .161   .161    1.00    7.00   13.00     .00
302    .082   .082    .211   .211    .146   .146    1.00    7.00   14.00     .00
303    .074   .074    .191   .191    .133   .133    1.00    7.00   15.00     .00
304    .068   .068    .173   .173    .121   .121    1.00    7.00   16.00     .00
305    .062   .062    .157   .157    .109   .109    1.00    7.00   17.00     .00
306    .056   .056    .142   .142    .099   .099    1.00    7.00   18.00     .00
307    .051   .051    .129   .129    .090   .090    1.00    7.00   19.00     .00
308    .046   .046    .117   .117    .082   .082    1.00    7.00   20.00     .00
309    .042   .042    .106   .106    .074   .074    1.00    7.00   21.00     .00
310    .038   .038    .096   .096    .067   .067    1.00    7.00   22.00     .00
311    .035   .035    .087   .087    .061   .061    1.00    7.00   23.00     .00
312    .031   .031    .079   .079    .055   .055    1.00    7.00   24.00     .00
313    .029   .029    .071   .071    .050   .050    1.00    7.00   25.00     .00
314    .026   .026    .064   .064    .045   .045    1.00    7.00   26.00     .00
315    .023   .023    .058   .058    .041   .041    1.00    7.00   27.00     .00
316    .021   .021    .053   .053    .037   .037    1.00    7.00   28.00     .00
317    .019   .019    .048   .048    .034   .034    1.00    7.00   29.00     .00
318    .017   .017    .043   .043    .030   .030    1.00    7.00   30.00     .00
319    .016   .016    .039   .039    .027   .027    1.00    7.00   31.00     .00
320    .014   .014    .035   .035    .025   .025    1.00    7.00   32.00     .00
321    .013   .013    .032   .032    .023   .023    1.00    7.00   33.00     .00
322    .012   .012    .029   .029    .020   .020    1.00    7.00   34.00     .00
323    .011   .011    .026   .026    .018   .018    1.00    7.00   35.00     .00
324    .010   .010    .024   .024    .017   .017    1.00    7.00   36.00     .00
325    .009   .009    .022   .022    .015   .015    1.00    7.00   37.00     .00
326    .008   .008    .019   .019    .014   .014    1.00    7.00   38.00     .00
327    .007   .007    .018   .018    .012   .012    1.00    7.00   39.00     .00
328    .007   .007    .016   .016    .011   .011    1.00    7.00   40.00     .00
329    .209   .209    .629   .629    .419   .419    1.00    8.00     .00     .00
330    .208   .208    .620   .620    .414   .414    1.00    8.00    1.00     .00
331    .204   .204    .596   .596    .400   .400    1.00    8.00    2.00     .00
332    .198   .198    .563   .563    .380   .380    1.00    8.00    3.00     .00
333    .190   .190    .525   .525    .357   .357    1.00    8.00    4.00     .00
334    .180   .180    .486   .486    .333   .333    1.00    8.00    5.00     .00
335    .170   .170    .447   .447    .309   .309    1.00    8.00    6.00     .00
336    .159   .159    .410   .410    .285   .285    1.00    8.00    7.00     .00
337    .148   .148    .375   .375    .261   .261    1.00    8.00    8.00     .00
338    .137   .137    .342   .342    .240   .240    1.00    8.00    9.00     .00
339    .126   .126    .312   .312    .219   .219    1.00    8.00   10.00     .00
340    .116   .116    .284   .284    .200   .200    1.00    8.00   11.00     .00
341    .106   .106    .258   .258    .182   .182    1.00    8.00   12.00     .00
342    .097   .097    .234   .234    .166   .166    1.00    8.00   13.00     .00
343    .089   .089    .213   .213    .151   .151    1.00    8.00   14.00     .00
344    .081   .081    .193   .193    .137   .137    1.00    8.00   15.00     .00
345    .074   .074    .175   .175    .125   .125    1.00    8.00   16.00     .00
346    .067   .067    .159   .159    .113   .113    1.00    8.00   17.00     .00
347    .061   .061    .144   .144    .103   .103    1.00    8.00   18.00     .00
348    .056   .056    .131   .131    .093   .093    1.00    8.00   19.00     .00
349    .051   .051    .118   .118    .084   .084    1.00    8.00   20.00     .00
350    .046   .046    .107   .107    .077   .077    1.00    8.00   21.00     .00
351    .042   .042    .097   .097    .069   .069    1.00    8.00   22.00     .00
352    .038   .038    .088   .088    .063   .063    1.00    8.00   23.00     .00
353    .034   .034    .080   .080    .057   .057    1.00    8.00   24.00     .00
354    .031   .031    .072   .072    .052   .052    1.00    8.00   25.00     .00
355    .028   .028    .065   .065    .047   .047    1.00    8.00   26.00     .00
356    .026   .026    .059   .059    .042   .042    1.00    8.00   27.00     .00
357    .023   .023    .054   .054    .038   .038    1.00    8.00   28.00     .00
358    .021   .021    .049   .049    .035   .035    1.00    8.00   29.00     .00
359    .019   .019    .044   .044    .032   .032    1.00    8.00   30.00     .00
360    .017   .017    .040   .040    .029   .029    1.00    8.00   31.00     .00
361    .016   .016    .036   .036    .026   .026    1.00    8.00   32.00     .00
362    .014   .014    .033   .033    .023   .023    1.00    8.00   33.00     .00
